Species	Light	Water	Survival
Dieffenbachia seguine	0.5	0	1
Dieffenbachia seguine	0.5	0	0
Dieffenbachia seguine	0.5	0	0
Dieffenbachia seguine	0.5	0	0
Dieffenbachia seguine	0.5	0	0
Dieffenbachia seguine	0.5	0	0
Dieffenbachia seguine	0.5	0	0
Dieffenbachia seguine	0.5	0	0
Dieffenbachia seguine	0.5	0	0
Dieffenbachia seguine	0.5	0	0
Dieffenbachia seguine	0.5	1	1
Dieffenbachia seguine	0.5	1	1
Dieffenbachia seguine	0.5	1	1
Dieffenbachia seguine	0.5	1	1
Dieffenbachia seguine	0.5	1	1
Dieffenbachia seguine	0.5	1	1
Dieffenbachia seguine	0.5	1	0
Dieffenbachia seguine	0.5	1	0
Dieffenbachia seguine	0.5	1	0
Dieffenbachia seguine	0.5	1	0
Dieffenbachia seguine	0.125	0	1
Dieffenbachia seguine	0.125	0	1
Dieffenbachia seguine	0.125	0	0
Dieffenbachia seguine	0.125	0	0
Dieffenbachia seguine	0.125	0	0
Dieffenbachia seguine	0.125	0	0
Dieffenbachia seguine	0.125	0	0
Dieffenbachia seguine	0.125	0	0
Dieffenbachia seguine	0.125	0	0
Dieffenbachia seguine	0.125	0	0
Dieffenbachia seguine	0.125	1	1
Dieffenbachia seguine	0.125	1	1
Dieffenbachia seguine	0.125	1	1
Dieffenbachia seguine	0.125	1	1
Dieffenbachia seguine	0.125	1	1
Dieffenbachia seguine	0.125	1	1
Dieffenbachia seguine	0.125	1	1
Dieffenbachia seguine	0.125	1	1
Dieffenbachia seguine	0.125	1	0
Dieffenbachia seguine	0.125	1	0
Dieffenbachia seguine	0.0625	0	0
Dieffenbachia seguine	0.0625	0	0
Dieffenbachia seguine	0.0625	0	0
Dieffenbachia seguine	0.0625	0	0
Dieffenbachia seguine	0.0625	0	0
Dieffenbachia seguine	0.0625	0	0
Dieffenbachia seguine	0.0625	0	0
Dieffenbachia seguine	0.0625	0	0
Dieffenbachia seguine	0.0625	0	0
Dieffenbachia seguine	0.0625	0	0
Dieffenbachia seguine	0.0625	1	1
Dieffenbachia seguine	0.0625	1	1
Dieffenbachia seguine	0.0625	1	1
Dieffenbachia seguine	0.0625	1	1
Dieffenbachia seguine	0.0625	1	1
Dieffenbachia seguine	0.0625	1	1
Dieffenbachia seguine	0.0625	1	1
Dieffenbachia seguine	0.0625	1	0
Dieffenbachia seguine	0.0625	1	0
Dieffenbachia seguine	0.0625	1	0
Dieffenbachia seguine	0.0156	0	1
Dieffenbachia seguine	0.0156	0	1
Dieffenbachia seguine	0.0156	0	0
Dieffenbachia seguine	0.0156	0	0
Dieffenbachia seguine	0.0156	0	0
Dieffenbachia seguine	0.0156	0	0
Dieffenbachia seguine	0.0156	0	0
Dieffenbachia seguine	0.0156	0	0
Dieffenbachia seguine	0.0156	0	0
Dieffenbachia seguine	0.0156	0	0
Dieffenbachia seguine	0.0156	1	1
Dieffenbachia seguine	0.0156	1	1
Dieffenbachia seguine	0.0156	1	1
Dieffenbachia seguine	0.0156	1	1
Dieffenbachia seguine	0.0156	1	1
Dieffenbachia seguine	0.0156	1	1
Dieffenbachia seguine	0.0156	1	0
Dieffenbachia seguine	0.0156	1	0
