plot	Haplotaxida	Moniligastrida	Araneae	Hymenoptera	Coleoptera	Diptera	Hemiptera	Orthoptera	Dermaptera	Blattodea	Scutigerida	Geophilida	Polyzonida	Isopoda	Symphyla	Anura	Stylommatophora	Basommatophora
s2	5	0	5	83	0	0	0	0	0	0	0	0	0	16	0	0	26	1
s8	4	6	8	161	5	0	0	3	0	2	1	0	0	16	0	0	15	0
s11	18	0	7	68	0	0	1	0	0	0	4	5	1	41	0	0	3	0
s12	5	0	13	70	0	0	0	0	0	0	1	2	0	12	5	0	1	0
unihall	9	4	4	221	8	0	0	0	0	0	3	0	0	69	0	0	4	0
731	23	6	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
737	0	0	0	0	51	0	0	0	11	0	0	0	0	0	0	0	0	0
739	7	7	7	58	0	0	1	0	0	0	1	0	0	11	3	0	0	0
woodlands	21	0	2	108	0	1	0	0	0	0	0	0	1	8	0	0	0	0
magaret	2	12	6	102	3	0	0	0	0	0	7	0	0	20	5	0	0	0
edgedale	12	11	1	35	23	0	0	0	0	0	4	0	0	72	0	0	5	0
tampines	16	1	2	83	7	0	1	1	0	1	0	0	0	13	0	1	3	0
