plot	pH	moisture	incline	forest	area	clay	silt	sand
s2	6.1	0.93	0	0	692.81	0.15	0.19	0.66
s8	6.35	0.74	30	43	1148.11	0.12	0.06	0.82
s11	5.4	0.90	20	79	2169	0.12	0.06	0.82
s12	5.9	0.91	5	114	904.29	0.15	0.13	0.72
unihall	5.875	0.81	0	0	4273.68	0.15	0.19	0.66
731	5.975	0.60	5	789	439.34	0.12	0.09	0.79
737	5.85	1.00	0	893	1636.08	0.12	0.06	0.82
739	5.825	0.79	5	774	17704.29	0.12	0.09	0.79
woodlands	6.2	0.93	0	11	348.64	0.15	0.13	0.72
magaret	6.05	0.86	0	90	2915.21	0.08	0.07	0.85
edgedale	6.2	0.90	0	546	40557.16	0.15	0.06	0.79
tampines	5.35	0.90	0	488	11439.67	0.08	0.07	0.85
