species,treatment,salinity,fresh,height,dry,survival
bcylindrica,t,0,4.112,10,1.147,Y
bcylindrica,t,0,4.966,10.9,1.423,Y
bcylindrica,t,0,5.721,11.7,1.565,Y
bcylindrica,t,0,6.198,13.8,1.737,Y
bcylindrica,t,0,7.14,15,2.012,Y
bcylindrica,t,0,9.39,18.3,2.635,Y
bcylindrica,t,0,9.383,14.3,2.706,Y
bcylindrica,t,0,10.44,13.4,2.778,Y
bcylindrica,t,25,NA,NA,NA,N
bcylindrica,t,25,NA,NA,NA,N
bcylindrica,t,25,2.567,6,0.634,Y
bcylindrica,t,25,6.936,13.4,1.57,Y
bcylindrica,t,25,9.926,14.6,2.155,Y
bcylindrica,t,25,11.886,14.1,2.948,Y
bcylindrica,t,25,18.161,28.5,4.694,Y
bcylindrica,t,25,23.599,23.7,5.549,Y
bcylindrica,t,50,NA,NA,NA,N
bcylindrica,t,50,NA,NA,NA,N
bcylindrica,t,50,NA,NA,NA,N
bcylindrica,t,50,7.094,12.9,1.773,Y
bcylindrica,t,50,8.617,16.2,2.06,Y
bcylindrica,t,50,8.939,19.1,2.234,Y
bcylindrica,t,50,16.564,18,3.889,Y
bcylindrica,t,50,23.965,26.6,6.548,Y
bcylindrica,t,75,NA,NA,NA,N
bcylindrica,t,75,NA,NA,NA,N
bcylindrica,t,75,NA,NA,NA,N
bcylindrica,t,75,7.446,11.2,1.372,Y
bcylindrica,t,75,7.788,12.4,1.852,Y
bcylindrica,t,75,9.96,20,2.386,Y
bcylindrica,t,75,14.042,20.1,3.468,Y
bcylindrica,t,75,19.407,21.3,5.184,Y
bcylindrica,t,100,NA,NA,NA,N
bcylindrica,t,100,3.979,11.4,0.852,Y
bcylindrica,t,100,6.989,14.6,1.615,Y
bcylindrica,t,100,7.445,11.5,1.775,Y
bcylindrica,t,100,8.879,12.4,2.031,Y
bcylindrica,t,100,9.965,12.8,2.243,Y
bcylindrica,t,100,13.173,18.4,3.226,Y
bcylindrica,t,100,14.113,20.3,3.352,Y
bcylindrica,u,0,NA,NA,NA,N
bcylindrica,u,0,1.952,7.2,0.53,Y
bcylindrica,u,0,2.238,6.9,0.544,Y
bcylindrica,u,0,6.331,13.5,1.713,Y
bcylindrica,u,0,5.72,12.4,1.793,Y
bcylindrica,u,0,6.909,12,1.947,Y
bcylindrica,u,0,8.616,12.4,2.291,Y
bcylindrica,u,25,NA,NA,NA,N
bcylindrica,u,25,NA,NA,NA,N
bcylindrica,u,25,NA,NA,NA,N
bcylindrica,u,25,NA,NA,NA,N
bcylindrica,u,25,6.927,13.3,1.603,Y
bcylindrica,u,25,7.466,18.3,1.678,Y
bcylindrica,u,25,21.94,23.9,4.865,Y
bcylindrica,u,50,NA,NA,NA,N
bcylindrica,u,50,NA,NA,NA,N
bcylindrica,u,50,8.237,20.3,2.006,Y
bcylindrica,u,50,15.89,26,3.734,Y
bcylindrica,u,50,16.309,22.8,3.829,Y
bcylindrica,u,50,17.657,22.9,4.281,Y
