transect,forest,fragment,seedling,position,ppext.stem,ppext.stem.r,ppext.stem.r2,canopy,litter,pH,moisture,sand,silt,clay,N,P,K,species.richness
BR_edg_2,Bedok_reservoir,Bedok_reservoir,175,Edge,0,0,0,94.475,1.28125,6.4,60,71.76,15.096,13.144,2170,10.7,48.9,13
SC_edg_1,Science_centre,Science_centre,41,Edge,13,0.100851046,0.00079274,76.015,1.96875,6.6,25,71.76,18.096,10.144,1050,6.95,28.4,20
TM_edg_2,Tanah_Merah,Tanah_Merah,68,Edge,7,0.056859811,0.000470231,88.495,2.28125,6.4,65,81.76,10.952,7.288,2590,13.5,46.9,19
TR_edg_1,Tanjong_Rhu,Tanjong_Rhu,20,Edge,0,0,0,92.2,2.9375,6.2,65,60.392,19.728,19.88,1680,4.76,37.4,10
BB_edg_1,Bukit_Batok,Bukit_Batok,0,Edge,0,0,0,90.445,7.875,5.6,75,64.392,19.512,16.096,1190,3.5,37.2,24
BB_edg_2,Bukit_Batok,Bukit_Batok,13,Edge,0,0,0,89.73,5.375,6,50,58.32,19.512,22.168,1260,5,36.4,41
P1_edg_1,Punggol,Punggol_1,15,Edge,163,1.175144201,0.008566382,88.495,1.71875,6.1,50,78.688,15.168,6.144,1120,29.8,24.5,11
P1_edg_2,Punggol,Punggol_1,3,Edge,0,0,0,90.51,2.3215,6.2,45,75.688,18.24,6.072,1540,80.9,30.6,12
P2_edg_4,Punggol,Punggol_2,9,Edge,0,0,,93.5,3.28125,6.6,45,74.176,17.304,8.52,1050,25.7,26,14
P2_edg_5,Punggol,Punggol_2,7,Edge,3,0.01886874,0.000118676,94.28,2.21875,6.4,100,70.392,16.512,13.096,3010,78.6,47.1,19
P3_edg_1,Punggol,Punggol_3,2,Edge,0,0,0,93.5,2,6.4,50,71.688,18.168,10.144,1330,120.1,16.2,20
P3_edg_2,Punggol,Punggol_3,6,Edge,0,0,0,89.015,3.53125,6.5,60,71.76,21.096,7.144,2590,20.6,19.1,22
KR_edg_2,Kent_Ridge,Kent_Ridge,5,Edge,0,0,0,93.695,4.25,6.2,45,54.536,17.304,28.16,1120,0.49,36.8,19
